Player,Pos,Age,Team,G,MP,FG,2P,3P,eFG,FT,TS,FTr,3PAr,FG+,2P+,3P+,eFG+,FT+,TS+,FTr+,3PAr+,FG Add,TS Add,Player Reference,Season,League
Cornell Warner,PF,27,LAL,81,2512,.479,,,,.695,.509,.244,,104,,,,93,101,83,,21.5,6.4,warneco01,1975-1976,NBA
Jim Washington,PF,32,BUF,1,7,.000,,,,,.000,.000,,,,,,,,,,-0.9,-1.0,washiji01,1975-1976,NBA
Kermit Washington,PF,24,LAL,36,492,.433,,,,.682,.517,.733,,95,,,,91,103,250,,-4.5,3.1,washike01,1975-1976,NBA
Slick Watts,PG,24,SEA,82,2776,.427,,,,.578,.457,.339,,93,,,,77,91,115,,-64.7,-110.0,wattssl01,1975-1976,NBA
Nick Weatherspoon,SF,25,WSB,64,1083,.476,,,,.701,.513,.299,,104,,,,93,102,102,,16.0,9.9,weathni01,1975-1976,NBA
Scott Wedman,SF,23,KCK,82,2968,.456,,,,.780,.492,.207,,99,,,,104,98,71,,-6.9,-31.4,wedmasc01,1975-1976,NBA
Bob Weiss,PG,33,BUF,66,995,.486,,,,.729,.522,.262,,106,,,,97,104,89,,10.2,7.4,weissbo01,1975-1976,NBA
Walt Wesley,C,31,LAL,1,7,.500,,,,.500,.532,2.000,,109,,,,67,106,681,,.2,.2,weslewa01,1975-1976,NBA
Paul Westphal,PG,25,PHO,82,2960,.494,,,,.830,.551,.331,,108,,,,110,109,113,,95.4,145.1,westppa01,1975-1976,NBA
John Wetzel,SG,31,PHO,37,249,.478,,,,.833,.566,.522,,104,,,,111,112,178,,1.8,7.0,wetzejo01,1975-1976,NBA
Jo Jo White,PG,29,BOS,82,3257,.449,,,,.838,.484,.170,,98,,,,112,96,58,,-28.1,-63.3,whitejo01,1975-1976,NBA
Rudy White,SG,22,HOU,32,284,.412,,,,.720,.451,.245,,90,,,,96,90,83,,-9.5,-11.8,whiteru01,1975-1976,NBA
Sidney Wicks,PF,26,POR,79,3044,.483,,,,.674,.528,.426,,105,,,,90,105,145,,58.7,68.1,wickssi01,1975-1976,NBA
Jamaal Wilkes,SF,22,GSW,82,2716,.463,,,,.772,.499,.220,,101,,,,103,99,75,,10.8,-13.3,wilkeja01,1975-1976,NBA
Earl Williams,C,24,DET,46,562,.480,,,,.500,.490,.289,,105,,,,67,97,99,,6.6,-4.6,williea01,1975-1976,NBA
Gus Williams,PG,22,GSW,77,1728,.428,,,,.742,.473,.273,,93,,,,99,94,93,,-52.2,-59.6,willigu01,1975-1976,NBA
Nate Williams,SF,25,NOJ,81,1935,.444,,,,.824,.493,.252,,97,,,,110,98,86,,-27.3,-22.0,willina01,1975-1976,NBA
Ron Williams,PG,31,LAL,9,158,.395,,,,.769,.452,.302,,86,,,,102,90,103,,-5.4,-5.1,williro01,1975-1976,NBA
Bill Willoughby,SF,18,ATL,62,870,.398,,,,.660,.445,.352,,87,,,,88,88,120,,-34.4,-38.4,willobi01,1975-1976,NBA
Bobby Wilson,SG,25,CHI,58,856,.403,,,,.741,.425,.119,,88,,,,99,84,40,,-54.4,-81.4,wilsobo03,1975-1976,NBA
Lee Winfield,PG,28,KCK,22,214,.485,,,,.643,.506,.212,,106,,,,86,100,72,,3.5,.3,winfile01,1975-1976,NBA
Harthorne Wingo,PF,28,NYK,57,533,.442,,,,.667,.486,.368,,96,,,,89,96,125,,-5.5,-6.8,wingoha01,1975-1976,NBA
Brian Winters,SG,23,MIL,78,2795,.464,,,,.829,.496,.163,,101,,,,110,98,55,,13.7,-23.1,wintebr01,1975-1976,NBA
Luke Witte,C,25,CLE,22,99,.344,,,,.600,.402,.469,,75,,,,80,80,160,,-7.3,-7.9,wittelu01,1975-1976,NBA
Dave Wohl,PG,26,HOU,50,700,.405,,,,.776,.461,.301,,88,,,,103,91,102,,-17.5,-15.9,wohlda01,1975-1976,NBA
Don Adams,SF,27,SSL,16,342,.429,.433,.000,.429,.773,.469,.224,.010,91,90,,90,101,90,84,26,-9.8,-11.0,adamsdo01,1974-1975,ABA
George Adams,SF,25,SDA,75,1605,.498,.499,.333,.499,.849,.526,.138,.005,105,104,114,104,111,101,51,12,25.4,7.4,adamsge01,1974-1975,ABA
Bird Averitt,SG,22,KEN,84,2031,.416,.429,.149,.420,.778,.476,.316,.046,88,89,51,88,101,92,117,117,-119.9,-101.6,averibi01,1974-1975,ABA
Marvin Barnes,PF,22,SSL,77,3076,.498,.499,.000,.498,.670,.527,.282,.002,105,104,,104,87,101,105,5,59.4,23.3,barnema01,1974-1975,ABA
Mike Barr,SG,24,SSL,54,1341,.506,.509,.000,.506,.683,.523,.152,.007,107,106,,106,89,100,57,19,14.4,1.3,barrmi01,1974-1975,ABA
Tim Bassett,PF,23,SDA,72,1998,.471,.469,.750,.474,.562,.492,.282,.008,100,98,256,99,73,95,105,20,-5.0,-32.8,basseti01,1974-1975,ABA
Lloyd Batts,SG,23,VIR,58,1317,.366,.388,.286,.397,.617,.414,.138,.216,77,81,97,83,80,80,51,546,-111.1,-152.6,battsll01,1974-1975,ABA
Byron Beck,PF,30,DNA,84,1818,.515,.516,.000,.515,.835,.539,.130,.001,109,107,,108,109,104,48,3,54.7,29.4,beckby01,1974-1975,ABA
Lionel Billingy,PF,22,VIR,46,1022,.427,.430,.000,.427,.650,.475,.407,.006,90,89,,89,85,91,152,14,-36.1,-37.7,billili01,1974-1975,ABA
Ron Boone,SG,28,UTS,84,3414,.491,.495,.303,.494,.860,.540,.238,.019,104,103,103,103,112,104,88,47,53.5,75.8,boonero01,1974-1975,ABA
Jim Bradley,PF,22,KEN,56,922,.440,.446,.000,.440,.738,.489,.315,.012,93,93,,92,96,94,117,31,-25.1,-23.4,bradlji01,1974-1975,ABA
Roger Brown,SF,32,TOT,56,1272,.430,.455,.350,.471,.781,.516,.271,.238,91,95,119,98,102,99,101,600,-6.1,-4.2,brownro01,1974-1975,ABA
Roger Brown,SF,32,MMS,7,209,.366,.379,.333,.415,.875,.460,.195,.293,77,79,114,87,114,89,73,739,-10.5,-10.6,brownro01,1974-1975,ABA
Roger Brown,SF,32,UTS,39,930,.447,.467,.375,.488,.766,.535,.321,.218,95,97,128,102,100,103,119,552,5.5,10.1,brownro01,1974-1975,ABA
Roger Brown,SF,32,INA,10,133,.435,.500,.250,.467,.750,.482,.087,.261,92,104,85,98,98,93,32,659,-1.0,-3.7,brownro01,1974-1975,ABA
Don Buse,PG,24,INA,80,2369,.432,.472,.309,.470,.797,.491,.118,.246,91,98,105,98,104,94,44,621,-8.7,-30.3,busedo01,1974-1975,ABA
Joe Caldwell,SF,33,SSL,25,841,.494,.495,.429,.498,.448,.500,.267,.021,104,103,146,104,58,96,99,54,12.9,-15.0,caldwjo01,1974-1975,ABA
Mack Calvin,PG,27,DNA,74,2463,.485,.490,.188,.486,.896,.587,.532,.016,103,102,64,102,117,113,198,41,15.3,165.0,calvima01,1974-1975,ABA
George Carter,SF,31,MMS,82,3066,.436,.440,.270,.439,.795,.493,.295,.027,92,92,92,92,104,95,110,69,-106.4,-84.0,cartege01,1974-1975,ABA
Glen Combs,SG,28,VIR,13,190,.343,.370,.286,.388,.889,.482,.403,.313,73,77,97,81,116,93,150,792,-12.2,-6.1,combsgl01,1974-1975,ABA
Louie Dampier,PG,30,KEN,83,2879,.500,.510,.396,.516,.809,.544,.167,.080,106,106,135,108,106,105,62,203,89.8,60.5,dampilo01,1974-1975,ABA
Mel Daniels,C,30,MMS,71,1646,.450,.450,,.450,.634,.480,.284,.000,95,94,,94,83,92,106,,-36.6,-57.9,danieme01,1974-1975,ABA
Lee Davis,PF,29,SDA,75,1838,.528,.534,.250,.531,.669,.552,.231,.022,112,111,85,111,87,106,86,55,76.2,50.9,davisle01,1974-1975,ABA
Randy Denton,C,25,UTS,75,1482,.503,.503,,.503,.767,.532,.201,.000,106,105,,105,100,102,75,,28.4,15.9,dentora01,1974-1975,ABA
Clyde Dickey,SG,23,UTS,58,472,.350,.367,.133,.355,.762,.377,.103,.074,74,76,45,74,99,72,38,187,-50.4,-60.8,dickecl01,1974-1975,ABA
Coby Dietrick,C,26,SAA,82,1724,.500,.500,.500,.502,.768,.535,.223,.009,106,104,171,105,100,103,83,23,20.9,14.7,dietrco01,1974-1975,ABA
Terry Driscoll,PF,27,SSL,30,351,.377,.377,,.377,.741,.418,.221,.000,80,78,,79,97,80,82,,-24.8,-27.3,driscte01,1974-1975,ABA
Jim Eakins,PF,28,UTS,84,2566,.503,.503,,.503,.836,.578,.460,.000,106,105,,105,109,111,171,,36.1,105.0,eakinji01,1974-1975,ABA
Charles Edge,SF,24,INA,77,1142,.505,.509,.000,.505,.553,.519,.295,.008,107,106,,106,72,100,110,20,20.4,-0.8,edgech01,1974-1975,ABA
Len Elmore,C,22,INA,77,1414,.417,.416,1.000,.418,.774,.451,.178,.002,88,87,341,87,101,87,66,5,-63.8,-77.8,elmorle01,1974-1975,ABA
Darrell Elston,SG,22,VIR,72,1869,.408,.415,.167,.410,.756,.447,.201,.029,86,86,57,86,99,86,75,74,-83.9,-98.1,elstoda01,1974-1975,ABA
Scott English,SF,24,SDA,71,1316,.425,.432,.100,.426,.775,.460,.180,.020,90,90,34,89,101,88,67,51,-52.0,-64.8,englisc01,1974-1975,ABA
Julius Erving,SF,24,NYA,84,3402,.506,.515,.333,.514,.799,.565,.337,.048,107,107,114,107,104,109,125,122,127.8,185.5,ervinju01,1974-1975,ABA
Larry Finch,SG,23,MMS,63,1888,.445,.452,.377,.462,.865,.509,.224,.089,94,94,129,97,113,98,83,226,-19.8,-14.9,finchla01,1974-1975,ABA
Jimmy Foster,PG,23,SSL,41,806,.373,.384,.000,.373,.794,.409,.163,.029,79,80,,78,104,79,61,73,-44.1,-50.0,fosteja01,1974-1975,ABA
Bill Franklin,PF,25,SAA,24,179,.376,.381,.000,.376,.652,.415,.271,.012,80,79,,79,85,80,101,30,-17.4,-20.0,frankwi01,1974-1975,ABA
Donnie Freeman,SG,30,SAA,77,2381,.448,.450,.000,.448,.821,.512,.348,.005,95,94,,94,107,98,129,12,-63.0,-19.2,freemdo01,1974-1975,ABA
Bernie Fryer,SG,25,SSL,9,264,.353,.358,.000,.353,.786,.436,.412,.015,75,75,,74,102,84,153,37,-17.1,-13.6,fryerbe01,1974-1975,ABA
Mike Gale,PG,24,NYA,72,1624,.463,.471,.304,.471,.791,.503,.185,.047,98,98,104,98,103,97,69,118,-8.1,-18.6,galemi01,1974-1975,ABA
Gus Gerard,SF,21,SSL,84,2702,.454,.456,.167,.455,.738,.490,.229,.005,96,95,57,95,96,94,85,12,-59.1,-82.2,gerargu01,1974-1975,ABA
George Gervin,SF,22,SAA,84,3113,.474,.479,.309,.479,.830,.529,.277,.033,100,100,105,100,108,102,103,84,.4,33.3,gervige01,1974-1975,ABA
Artis Gilmore,C,25,KEN,84,3493,.580,.580,.500,.581,.696,.615,.438,.001,123,121,171,121,91,118,163,4,275.4,304.2,gilmoar01,1974-1975,ABA
Gerald Govan,PF,33,UTS,84,2791,.397,.397,.500,.398,.790,.434,.174,.003,84,83,171,83,103,83,65,8,-97.4,-112.5,govange01,1974-1975,ABA
Travis Grant,SF,25,SDA,53,1998,.544,.545,.500,.545,.835,.578,.206,.002,115,113,171,114,109,111,77,5,140.0,134.3,granttr01,1974-1975,ABA
Lamar Green,PF,27,VIR,51,856,.426,.426,,.426,.741,.460,.200,.000,90,89,,89,97,88,74,,-28.5,-35.7,greenla01,1974-1975,ABA
Mike Green,C,23,DNA,81,2557,.542,.544,.000,.542,.738,.574,.279,.004,115,113,,113,96,110,104,9,137.6,132.0,greenmi01,1974-1975,ABA
Joe Hamilton,PG,26,KEN,9,124,.375,.343,.600,.412,.833,.446,.150,.125,79,71,205,86,109,86,56,316,-5.3,-6.4,hamiljo01,1974-1975,ABA
Billy Harris,SG,23,SDA,76,1221,.398,.420,.219,.410,.677,.431,.145,.110,84,87,75,86,88,83,54,278,-91.8,-125.9,harribi01,1974-1975,ABA
Bill Higgins,SG,22,VIR,15,348,.439,.448,.200,.442,.652,.463,.165,.036,93,93,68,92,85,89,62,91,-10.1,-17.2,higgibi01,1974-1975,ABA
Darnell Hillman,C,25,INA,81,2603,.527,.529,.000,.527,.752,.555,.219,.004,111,110,,110,98,107,81,11,88.2,71.1,hillmda01,1974-1975,ABA
Tom Ingelsby,PG,23,SSL,22,344,.489,.506,.200,.494,.741,.535,.300,.056,103,105,68,103,97,103,112,140,2.8,3.0,ingelto01,1974-1975,ABA
George Irvine,SF,26,VIR,59,1522,.528,.540,.351,.539,.848,.585,.278,.063,112,112,120,113,111,113,104,159,71.0,86.1,irvinge01,1974-1975,ABA
Dan Issel,PF,26,KEN,83,2864,.471,.473,.000,.471,.738,.507,.246,.004,100,98,,98,96,97,92,10,-19.6,-37.7,isselda01,1974-1975,ABA
Warren Jabali,SG,28,SDA,62,1861,.392,.422,.321,.440,.789,.501,.350,.298,83,88,110,92,103,96,130,752,-50.4,-29.2,jabalwa01,1974-1975,ABA
Mike Jackson,PF,25,VIR,82,2023,.528,.528,.333,.528,.786,.584,.407,.004,112,110,114,110,103,112,152,10,71.8,108.6,jacksmi01,1974-1975,ABA
Stew Johnson,PF,30,TOT,81,2812,.445,.458,.303,.458,.733,.467,.058,.088,94,95,103,96,96,90,21,223,-61.5,-161.9,johnsst01,1974-1975,ABA
Stew Johnson,PF,30,SDA,9,253,.424,.437,.250,.432,.800,.438,.029,.071,90,91,85,90,104,84,11,178,-15.8,-28.2,johnsst01,1974-1975,ABA
Stew Johnson,PF,30,MMS,72,2559,.447,.461,.308,.461,.728,.471,.061,.091,95,96,105,96,95,91,23,229,-45.8,-133.7,johnsst01,1974-1975,ABA
Bobby Jones,PF,23,DNA,84,2706,.604,.605,.000,.604,.695,.626,.307,.001,128,126,,126,91,120,114,3,219.2,210.4,jonesbo01,1974-1975,ABA
Caldwell Jones,C,24,SDA,76,3004,.489,.491,.273,.490,.788,.533,.270,.009,103,102,93,102,103,102,100,22,27.7,35.4,jonesca01,1974-1975,ABA
Collis Jones,SF,25,MMS,81,1880,.474,.477,.333,.478,.757,.516,.252,.021,100,99,114,100,99,99,94,54,-1.2,-6.5,jonesco01,1974-1975,ABA
Rich Jones,PF,28,SAA,83,3097,.439,.445,.260,.443,.767,.486,.253,.034,93,93,89,93,100,93,94,85,-106.1,-113.2,jonesri01,1974-1975,ABA
Steve Jones,SG,32,SSL,69,1884,.439,.446,.211,.442,.830,.503,.315,.029,93,93,72,92,108,97,117,73,-48.2,-25.8,jonesst01,1974-1975,ABA
Wali Jones,SG,32,UTS,71,1339,.405,.413,.240,.410,.823,.460,.237,.048,86,86,82,86,107,88,88,121,-71.7,-70.0,joneswa02,1974-1975,ABA
Wil Jones,SF,27,KEN,84,2689,.483,.486,.000,.483,.735,.512,.199,.005,102,101,,101,96,98,74,13,8.3,-17.9,joneswi02,1974-1975,ABA
Kevin Joyce,SG,23,INA,81,2828,.426,.434,.190,.429,.789,.457,.145,.034,90,90,65,90,103,88,54,85,-124.1,-167.8,joyceke01,1974-1975,ABA
George Karl,PG,23,SAA,82,1629,.489,.503,.174,.493,.774,.542,.331,.043,103,105,59,103,101,104,123,109,14.7,26.3,karlge01,1974-1975,ABA
Bill Keller,PG,27,INA,79,1918,.437,.475,.333,.481,.883,.512,.141,.264,92,99,114,101,115,98,52,668,4.6,-16.4,kellebi01,1974-1975,ABA
Goo Kennedy,SF,25,SSL,74,1532,.524,.523,1.000,.525,.725,.563,.332,.002,111,109,341,110,95,108,124,5,49.8,52.8,kennego01,1974-1975,ABA
Larry Kenon,PF,22,NYA,84,3165,.509,.509,.500,.510,.770,.541,.213,.002,108,106,171,106,100,104,79,4,82.4,60.1,kenonla01,1974-1975,ABA
Julius Keye,PF,28,MMS,12,233,.255,.255,,.255,.750,.297,.170,.000,54,53,,53,98,57,63,,-21.0,-22.6,keyeju01,1974-1975,ABA
Billy Knight,SF,22,INA,80,2559,.534,.538,.250,.535,.799,.571,.238,.015,113,112,85,112,104,110,89,37,123.2,121.4,knighbi01,1974-1975,ABA
Wendell Ladner,SF,26,NYA,25,436,.260,.277,.194,.280,.600,.290,.058,.208,55,58,66,59,78,56,22,526,-68.6,-81.6,ladnewe01,1974-1975,ABA
Bo Lamar,PG,23,SDA,77,2917,.425,.439,.229,.433,.784,.470,.201,.069,90,91,78,90,102,90,75,175,-145.2,-172.9,lamarbo01,1974-1975,ABA
Greg Lee,PG,23,SDA,5,63,.533,.533,,.533,1.000,.567,.133,.000,113,111,,111,130,109,50,,1.6,1.5,leegr01,1974-1975,ABA
Freddie Lewis,PG-SG,31,TOT,69,2790,.470,.482,.269,.477,.843,.540,.342,.054,99,100,92,100,110,104,127,137,-3.6,56.3,lewisfr02,1974-1975,ABA
Freddie Lewis,SG,31,MMS,6,227,.405,.419,.167,.410,.938,.449,.144,.054,86,87,57,86,122,86,54,137,-15.3,-16.8,lewisfr02,1974-1975,ABA
Freddie Lewis,PG,31,SSL,63,2563,.476,.488,.279,.484,.840,.548,.361,.054,101,102,95,101,110,105,134,137,11.7,73.2,lewisfr02,1974-1975,ABA
Gene Littles,PG,31,KEN,61,900,.421,.428,.250,.426,.741,.472,.287,.040,89,89,85,89,97,91,107,100,-21.4,-21.7,littlge01,1974-1975,ABA
Stan Love,PF,25,SAA,12,64,.433,.433,,.433,.750,.457,.133,.000,92,90,,91,98,88,50,,-2.7,-4.0,lovest01,1974-1975,ABA
Maurice Lucas,C,22,SSL,80,2464,.467,.470,.222,.469,.786,.510,.244,.010,99,98,76,98,103,98,91,24,-19.2,-21.8,lucasma01,1974-1975,ABA
Moses Malone,C,19,UTS,83,3205,.571,.572,.000,.571,.635,.601,.571,.001,121,119,,119,83,116,212,2,191.0,209.5,malonmo01,1974-1975,ABA
Ed Manning,SF,31,NYA,70,992,.424,.427,.000,.424,.833,.461,.173,.008,90,89,,89,109,89,64,21,-26.7,-31.1,mannied01,1974-1975,ABA
Ted McClain,SG,28,KEN,72,1971,.440,.444,.125,.441,.754,.480,.237,.014,93,92,43,92,98,92,88,35,-44.3,-51.8,mcclate01,1974-1975,ABA
Pat McFarland,SG,23,DNA,70,945,.472,.485,.125,.474,.788,.501,.156,.038,100,101,43,99,103,96,58,95,-4.0,-17.4,mcfarpa01,1974-1975,ABA
George McGinnis,PF,24,INA,79,3193,.451,.461,.354,.467,.724,.519,.389,.090,95,96,121,98,94,100,145,229,-43.8,-4.1,mcginge01,1974-1975,ABA
Roy McPipe,SG,24,UTS,5,44,.333,.300,.500,.375,.750,.408,.167,.167,70,62,171,78,98,78,62,421,-5.0,-5.8,mcpipro01,1974-1975,ABA
Bill Melchionni,PG,30,NYA,77,1384,.487,.500,.296,.496,.795,.528,.189,.065,103,104,101,104,104,101,70,165,14.6,6.6,melchbi01,1974-1975,ABA
Larry Miller,SG,28,UTS,5,26,.333,.333,,.333,1.000,.436,.333,.000,70,69,,70,130,84,124,,-2.6,-1.7,millela01,1974-1975,ABA
Gene Moore,C,29,SSL,13,108,.406,.406,,.406,1.000,.444,.125,.000,86,85,,85,130,85,46,,-4.6,-5.1,moorege01,1974-1975,ABA
Rick Mount,SG,28,MMS,26,895,.420,.419,.426,.443,.863,.480,.169,.109,89,87,145,93,113,92,63,275,-30.7,-36.9,mountri01,1974-1975,ABA
Bob Nash,SF,24,SDA,17,175,.346,.355,.000,.346,.722,.390,.231,.026,73,74,,72,94,75,86,65,-20.7,-22.4,nashbo01,1974-1975,ABA
Swen Nater,C,25,SAA,78,2713,.542,.542,.000,.542,.752,.575,.269,.001,115,113,,113,98,110,100,3,114.9,111.3,natersw01,1974-1975,ABA
Bob Netolicky,PF,32,INA,59,1077,.504,.515,.167,.507,.633,.529,.261,.032,107,107,57,106,83,102,97,81,20.9,6.9,netolbo01,1974-1975,ABA
Johnny Neumann,SG,23,TOT,52,931,.418,.450,.269,.442,.693,.465,.169,.175,88,94,92,92,90,89,63,443,-33.1,-52.4,neumajo01,1974-1975,ABA
Johnny Neumann,SG,23,VIR,4,96,.328,.355,.000,.328,.375,.333,.119,.075,69,74,,69,49,64,44,189,-20.2,-26.4,neumajo01,1974-1975,ABA
Johnny Neumann,SG,23,INA,48,835,.434,.469,.288,.462,.731,.488,.177,.193,92,98,98,96,95,94,66,488,-12.9,-26.0,neumajo01,1974-1975,ABA
Jimmy O'Brien,PG,24,SDA,79,2036,.400,.420,.118,.404,.880,.467,.270,.065,85,87,40,84,115,90,101,164,-78.7,-62.3,obrieji01,1974-1975,ABA
Jim O'Brien,SF,23,MMS,47,611,.433,.463,.231,.448,.783,.499,.296,.128,92,96,79,94,102,96,110,324,-12.4,-9.7,obrieji02,1974-1975,ABA
Tom Owens,C,25,TOT,82,2647,.527,.528,.000,.527,.751,.565,.298,.002,112,110,,110,98,109,111,5,94.2,98.4,owensto01,1974-1975,ABA
Tom Owens,C,25,SSL,5,89,.538,.538,,.538,.556,.551,.346,.000,114,112,,112,72,106,129,,3.1,1.8,owensto01,1974-1975,ABA
Tom Owens,C,25,MMS,77,2558,.527,.528,.000,.527,.757,.566,.297,.002,111,110,,110,99,109,110,5,91.1,96.6,owensto01,1974-1975,ABA
Wayne Pack,PG,24,INA,21,189,.383,.419,.294,.425,.833,.467,.200,.283,81,87,100,89,109,90,74,716,-6.4,-6.9,packwa01,1974-1975,ABA
Barry Parkhill,SG,23,VIR,78,1870,.417,.422,.000,.417,.750,.445,.157,.013,88,88,,87,98,86,58,32,-78.9,-102.6,parkhba01,1974-1975,ABA
Billy Paultz,C,26,NYA,80,2826,.485,.487,.000,.485,.748,.523,.265,.003,103,101,,101,98,101,99,7,13.9,7.3,paultbi01,1974-1975,ABA
Aulcie Perry,C,24,VIR,21,415,.435,.438,.000,.435,.633,.454,.161,.005,92,91,,91,83,87,60,14,-16.1,-26.3,perryau01,1974-1975,ABA
Cincy Powell,SF,32,VIR,60,1224,.404,.407,.294,.408,.661,.453,.340,.032,85,85,100,85,86,87,126,81,-74.5,-81.9,powelci01,1974-1975,ABA
Red Robbins,C,30,TOT,57,1777,.474,.476,.300,.476,.866,.533,.289,.015,100,99,102,99,113,103,107,39,-3.4,19.1,robbire01,1974-1975,ABA
Red Robbins,C,30,KEN,4,29,.571,.571,,.571,1.000,.635,.286,.000,121,119,,119,130,122,106,,3.9,5.4,robbire01,1974-1975,ABA
Red Robbins,C,30,VIR,53,1748,.470,.473,.300,.473,.862,.530,.289,.016,99,99,102,99,112,102,107,40,-7.3,13.7,robbire01,1974-1975,ABA
Marv Roberts,SF,25,KEN,83,1370,.430,.431,.000,.430,.774,.491,.351,.002,91,90,,90,101,94,131,5,-45.1,-32.0,roberma01,1974-1975,ABA
Ronnie Robinson,PF,23,MMS,10,102,.474,.474,,.474,.667,.492,.158,.000,100,99,,99,87,95,59,,-0.4,-2.3,robinro01,1974-1975,ABA
Dave Robisch,C,25,DNA,84,1899,.503,.504,.000,.503,.879,.584,.444,.001,106,105,,105,115,112,165,3,38.1,119.0,robisda01,1974-1975,ABA
John Roche,PG-SG,25,TOT,58,1387,.473,.490,.295,.486,.802,.522,.208,.086,100,102,101,102,105,100,77,218,7.6,1.8,rochejo01,1974-1975,ABA
John Roche,SG,25,KEN,19,258,.367,.389,.143,.373,.833,.426,.228,.089,78,81,49,78,109,82,85,224,-16.6,-16.4,rochejo01,1974-1975,ABA
John Roche,PG,25,UTS,39,1129,.493,.509,.324,.507,.795,.540,.205,.086,104,106,111,106,104,104,76,217,24.3,18.3,rochejo01,1974-1975,ABA
Reggie Royals,C,24,SDA,2,11,.500,.500,,.500,,.500,.000,.000,106,104,,104,,96,,,.2,-0.2,royalre01,1974-1975,ABA
Billy Schaeffer,SF,23,NYA,27,280,.466,.476,.286,.473,.600,.489,.191,.053,98,99,97,99,78,94,71,135,-1.4,-8.8,schaebi01,1974-1975,ABA
Bruce Seals,SF,21,UTS,35,371,.423,.432,.000,.423,.769,.456,.183,.021,89,90,,88,100,88,68,53,-16.0,-19.7,sealsbr01,1974-1975,ABA
Billy Shepherd,PG,25,MMS,69,1315,.417,.416,.420,.495,.722,.520,.187,.370,88,87,143,103,94,100,69,936,12.4,-0.6,shephbi01,1974-1975,ABA
James Silas,PG,25,SAA,82,3105,.509,.510,.000,.509,.885,.587,.428,.002,108,106,,106,115,113,159,4,68.3,181.5,silasja01,1974-1975,ABA
Ralph Simpson,SG,25,DNA,82,2863,.505,.509,.083,.505,.754,.545,.293,.009,107,106,28,106,98,105,109,22,73.4,78.3,simpsra01,1974-1975,ABA
Al Skinner,SG,22,NYA,51,773,.489,.490,.333,.491,.766,.542,.353,.011,103,102,114,102,100,104,131,28,6.3,13.2,skinnal01,1974-1975,ABA
Al Smith,PG,28,UTS,80,2037,.387,.391,.362,.416,.813,.481,.332,.162,82,81,123,87,106,92,123,408,-73.3,-52.9,smithal01,1974-1975,ABA
Willie Sojourner,C,26,NYA,79,1020,.478,.480,.333,.480,.700,.507,.216,.009,101,100,114,100,91,98,80,23,.8,-9.2,sojouwi01,1974-1975,ABA
Brian Taylor,PG,23,NYA,79,2611,.513,.529,.217,.518,.765,.549,.213,.050,108,110,74,108,100,105,79,126,73.1,57.0,taylobr01,1974-1975,ABA
Fatty Taylor,PG,28,DNA,76,2018,.428,.434,.286,.433,.750,.481,.294,.036,91,90,97,91,98,93,109,91,-53.1,-51.5,taylofa01,1974-1975,ABA
Collis Temple,SF,22,SAA,24,102,.415,.425,.000,.415,.800,.463,.244,.024,88,88,,87,104,89,91,62,-5.3,-5.2,templco01,1974-1975,ABA
Chuck Terry,SF,24,SAA,79,1186,.473,.475,.375,.478,.736,.502,.169,.026,100,99,128,100,96,97,63,65,-0.7,-11.9,terrych01,1974-1975,ABA
Claude Terry,SF,25,DNA,70,989,.530,.540,.400,.544,.761,.576,.253,.069,112,112,136,114,99,111,94,173,47.5,45.1,terrycl01,1974-1975,ABA
Ron Thomas,PF,24,KEN,79,830,.449,.451,.333,.451,.479,.467,.465,.012,95,94,114,94,62,90,173,30,-14.1,-32.9,thomaro01,1974-1975,ABA
Dave Twardzik,PG,24,VIR,76,2679,.546,.550,.167,.547,.826,.627,.584,.009,116,114,57,114,108,121,217,23,89.9,176.6,twardda01,1974-1975,ABA
Jan van Breda Kolff,SF,23,DNA,84,1639,.453,.457,.000,.453,.839,.560,.617,.009,96,95,,95,109,108,229,22,-17.5,34.5,vanbrja01,1974-1975,ABA
David Vaughn,C,22,VIR,83,2507,.423,.424,.000,.423,.546,.441,.229,.002,89,88,,88,71,85,85,5,-111.6,-174.3,vaughda01,1974-1975,ABA
Bob Warren,SG,28,SAA,71,992,.479,.484,.286,.483,.846,.546,.343,.026,101,101,97,101,110,105,128,67,2.3,15.6,warrebo01,1974-1975,ABA
Don Washington,SF,22,DNA,50,438,.432,.436,.000,.432,.679,.472,.306,.011,91,91,,90,89,91,114,28,-17.2,-20.1,washido01,1974-1975,ABA
Art Williams,PG,35,SDA,7,89,.667,.667,,.667,,.667,.000,.000,141,139,,139,,128,,,4.5,3.5,williar01,1974-1975,ABA
Chuck Williams,PG,28,MMS,81,3171,.494,.496,.417,.499,.815,.545,.270,.025,105,103,142,104,106,105,100,63,39.9,53.0,willich02,1974-1975,ABA
Fly Williams,SG,21,SSL,71,1239,.462,.469,.143,.463,.683,.484,.157,.022,98,98,49,97,89,93,58,55,-19.7,-50.3,willifl01,1974-1975,ABA
Hank Williams,SF,22,UTS,39,454,.436,.482,.136,.445,.783,.471,.141,.135,92,100,47,93,102,90,52,341,-11.1,-17.1,williha01,1974-1975,ABA
John Williamson,SG,23,NYA,75,1872,.482,.486,.231,.484,.837,.520,.191,.017,102,101,79,101,109,100,71,43,7.7,-0.4,willijo01,1974-1975,ABA
